"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","tweets"
"20",20,"These grab and go Flex 14‚Äôs are ready for a new home!! With a pen for #WindowsINk its Only 599.99 at #Costco!!‚Ä¶ https://t.co/eNtsDZzZH1",FALSE,0,NA,2018-05-04 16:30:05,TRUE,NA,992441240665935872,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","The_Lenovo_Lady",0,FALSE,FALSE,NA,NA,"laptopbrands"
"21",21,"RT @tfixrepairs: Use our discount coupon (use code XMA1410ZM) to repair your #djimavicair or any other #dji drone ÔÄ¢ #apple gear ÔÄ¢ #ps4 ÔÄ¢ #x‚Ä¶",FALSE,0,NA,2018-05-04 16:25:14,FALSE,NA,992440022900051968,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MikeOtley",1,TRUE,FALSE,NA,NA,"laptopbrands"
"22",22,"RT @the_best_daily: 7% OFF #lenovo #flex5 #laptop @amazon @lenovo Lenovo Flex 5 14-Inch 2-in-1 Laptop, (Intel Core i5-8250U 8GB DDR4 128 GB‚Ä¶",FALSE,0,NA,2018-05-04 16:23:41,FALSE,NA,992439632284569600,NA,"<a href=""http://www.dummy.com"" rel=""nofollow"">MatosManApp</a>","MatosMan75",1,TRUE,FALSE,NA,NA,"laptopbrands"
"23",23,"""Detecting Laptop Tampering""  https://t.co/o08KTPqMyk #cybersecurity #Security #laptop",FALSE,0,NA,2018-05-04 16:21:24,FALSE,NA,992439057681670144,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","altanwir",0,FALSE,FALSE,NA,NA,"laptopbrands"
"24",24,"31% OFF #dell #XPS #laptop @amazon @dell Dell XPS 13 9360 13.3"" Full HD Anti-Glare InfinityEdge Touchscreen Laptop‚Ä¶ https://t.co/xwYjcp9caQ",FALSE,1,NA,2018-05-04 16:10:04,TRUE,NA,992436203441082368,NA,"<a href=""https://twittimer.com"" rel=""nofollow"">Twittimer</a>","the_best_daily",0,FALSE,FALSE,NA,NA,"laptopbrands"
"25",25,"15% OFF #dell #XPS #laptop @amazon @dell Dell XPS9560-7001SLV-PUS 15.6"" Ultra Thin and Light Laptop with 4K touch s‚Ä¶ https://t.co/jpAoBtiALO",FALSE,0,NA,2018-05-04 16:05:11,TRUE,NA,992434977697656832,NA,"<a href=""https://twittimer.com"" rel=""nofollow"">Twittimer</a>","the_best_offer",0,FALSE,FALSE,NA,NA,"laptopbrands"
"26",26,"Perfect for basic browsing, catching up on some Netflix or getting some work done, this #HP #Laptop has you covered‚Ä¶ https://t.co/OIKtAgQUVl",FALSE,0,NA,2018-05-04 15:50:14,TRUE,NA,992431214895288320,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","ecbshalifax",0,FALSE,FALSE,NA,NA,"laptopbrands"
"27",27,"7% OFF #lenovo #flex5 #laptop @amazon @lenovo Lenovo Flex 5 14-Inch 2-in-1 Laptop, (Intel Core i5-8250U 8GB DDR4 12‚Ä¶ https://t.co/CSG4Wih8ik",FALSE,1,NA,2018-05-04 15:45:06,TRUE,NA,992429923150237696,NA,"<a href=""https://twittimer.com"" rel=""nofollow"">Twittimer</a>","the_best_daily",1,FALSE,FALSE,NA,NA,"laptopbrands"
"28",28,"Maylitwrit photo challenge day four: 3 things you can't write without

For me that would be my notebook, laptop, an‚Ä¶ https://t.co/T1aYWB6wTI",FALSE,1,NA,2018-05-04 15:29:07,TRUE,NA,992425897532805120,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WriterKaylaD",0,FALSE,FALSE,NA,NA,"laptopbrands"
"29",29,".@serenshaw's got a a new laptop. It comes with a mouse &amp; a power adaptor. #craft #laptop https://t.co/aKI5rDmDfp",FALSE,0,NA,2018-05-04 15:28:41,FALSE,NA,992425789584039936,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","paulshaw",0,FALSE,FALSE,NA,NA,"laptopbrands"
"30",30,"Hi @rhonaraya !! Standing outside our fav Columbia road shop @artisansandadventurers !! 146! #retail‚Ä¶ https://t.co/6dZgambXCT",FALSE,0,NA,2018-05-04 15:18:54,TRUE,NA,992423327850467328,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Goodordering",0,FALSE,FALSE,NA,NA,"laptopbrands"
"31",31,"Selling #Computer #Hardware, #Components or #3D #Printing services? We are helping many businesses receive great di‚Ä¶ https://t.co/EmJIQcubgE",FALSE,0,NA,2018-05-04 15:10:05,TRUE,NA,992421107704705024,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","InXpressLDN_E",0,FALSE,FALSE,NA,NA,"laptopbrands"
"32",32,"#eBay @HP STREAM 14-AX002NA 14&amp;#034; #LAPTOP INTEL 32GB SSD 4GB RAM WINDOWS 10 BRAND NEW https://t.co/MNhIguRJ7e via @eBay_UK",FALSE,0,NA,2018-05-04 15:05:37,FALSE,NA,992419987506724864,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","eBay_artrade",0,FALSE,FALSE,NA,NA,"laptopbrands"
"33",33,"RT @blueshiftcoding: Are you investing in new tech this spring? Check out our laptop guide! https://t.co/cUFZBez1mW #laptop #shopping https‚Ä¶",FALSE,0,NA,2018-05-04 14:33:50,FALSE,NA,992411988113481728,NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","IAdvertiseForU",2,TRUE,FALSE,NA,NA,"laptopbrands"
"34",34,"8% OFF #Ideapad #lenovo #laptop @amazon @lenovo Lenovo  Laptop Ideapad 320S 15.6-Inch (Intel Core i5-8250U, 8 GB DD‚Ä¶ https://t.co/rdKFnNFkGo",FALSE,0,NA,2018-05-04 14:30:13,TRUE,NA,992411077278404608,NA,"<a href=""https://twittimer.com"" rel=""nofollow"">Twittimer</a>","the_best_offer",0,FALSE,FALSE,NA,NA,"laptopbrands"
"35",35,"Are you investing in new tech this spring? Check out our laptop guide! https://t.co/cUFZBez1mW #laptop #shopping https://t.co/S8tkLuPzjT",FALSE,2,NA,2018-05-04 14:23:02,FALSE,NA,992409270158286848,NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","blueshiftcoding",2,FALSE,FALSE,NA,NA,"laptopbrands"
"36",36,"RT @RETROSpidycents: #VINTAGE SLANTED #TABLETOP #LAP #DESK #PODIUM #READING #WRITING #WOOD #TABLETOPDESK #COMPARTMENTS #HINGED #LAPTOP #SPE‚Ä¶",FALSE,0,NA,2018-05-04 14:17:33,FALSE,NA,992407890853023744,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OxAmOsxO",232,TRUE,FALSE,NA,NA,"laptopbrands"
"37",37,"At Tier 1 Online we stock a variety of accessories, ideal for your newly purchased #refurbished #laptop or‚Ä¶ https://t.co/yppYf4TSRd",FALSE,1,NA,2018-05-04 14:14:03,TRUE,NA,992407008589635584,NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","tier1online",0,FALSE,FALSE,NA,NA,"laptopbrands"
"38",38,"Join the world's #earlystage #startups in competing for a gold #Asus #VivoBook #Laptop + ¬£200 of #marketresearch. W‚Ä¶ https://t.co/hExn2jXgER",FALSE,1,NA,2018-05-04 14:09:44,TRUE,NA,992405922872987648,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","marketest",0,FALSE,FALSE,NA,NA,"laptopbrands"
"39",39,"Do you own a #Mac? Here are a few common #issues most users face, for your information. #Macbook #Apple #laptop

Vi‚Ä¶ https://t.co/btrgN8d4O7",FALSE,0,NA,2018-05-04 14:08:12,TRUE,NA,992405537110147072,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iserviceindia",0,FALSE,FALSE,NA,NA,"laptopbrands"
"40",40,"RT @the_best_offer: 7% OFF #lenovo #flex5 #laptop @amazon @lenovo Lenovo Flex 5 14-Inch 2-in-1 Laptop, (Intel Core i5-8250U 8GB DDR4 128 GB‚Ä¶",FALSE,0,NA,2018-05-04 14:02:10,FALSE,NA,992404016855367680,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","atomicrocketpop",4,TRUE,FALSE,NA,NA,"laptopbrands"
"41",41,"RT @the_best_offer: 7% OFF #lenovo #flex5 #laptop @amazon @lenovo Lenovo Flex 5 14-Inch 2-in-1 Laptop, (Intel Core i5-8250U 8GB DDR4 128 GB‚Ä¶",FALSE,0,NA,2018-05-04 13:59:21,FALSE,NA,992403308970098688,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","choochad95",4,TRUE,FALSE,NA,NA,"laptopbrands"
"42",42,"RT @the_best_offer: 7% OFF #lenovo #flex5 #laptop @amazon @lenovo Lenovo Flex 5 14-Inch 2-in-1 Laptop, (Intel Core i5-8250U 8GB DDR4 128 GB‚Ä¶",FALSE,0,NA,2018-05-04 13:56:27,FALSE,NA,992402578368417792,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hirotoki16109",4,TRUE,FALSE,NA,NA,"laptopbrands"
"43",43,"RT @the_best_offer: 7% OFF #lenovo #flex5 #laptop @amazon @lenovo Lenovo Flex 5 14-Inch 2-in-1 Laptop, (Intel Core i5-8250U 8GB DDR4 128 GB‚Ä¶",FALSE,0,NA,2018-05-04 13:56:10,FALSE,NA,992402506079784960,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DerrickRBickley",4,TRUE,FALSE,NA,NA,"laptopbrands"
"44",44,"7% OFF #lenovo #flex5 #laptop @amazon @lenovo Lenovo Flex 5 14-Inch 2-in-1 Laptop, (Intel Core i5-8250U 8GB DDR4 12‚Ä¶ https://t.co/jwp0uesy0H",FALSE,1,NA,2018-05-04 13:55:07,TRUE,NA,992402245571481600,NA,"<a href=""https://twittimer.com"" rel=""nofollow"">Twittimer</a>","the_best_offer",4,FALSE,FALSE,NA,NA,"laptopbrands"
"45",45,"#Students, on a budget but need a new #laptop? SAVE UP TO 70% at https://t.co/LtGKhmZmRL today! #NUS https://t.co/QDkwZNI3aG",FALSE,0,NA,2018-05-04 13:55:06,FALSE,NA,992402240051834880,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","itzoouk",0,FALSE,FALSE,NA,NA,"laptopbrands"
"46",46,"When I'm #writing and want to go mobile this #laptop has served me well. This was a #writers gift I got years ago. https://t.co/S9i42PQOaK",FALSE,0,NA,2018-05-04 13:48:20,FALSE,NA,992400538498027520,NA,"<a href=""http://www.Feed140.net"" rel=""nofollow"">feed_140</a>","GiftsForWriters",0,FALSE,FALSE,NA,NA,"laptopbrands"
"47",47,"RT @Techupdate3: Smartron tbook flex 2-in-1 laptop launched in India https://t.co/gYLe9lLifQ

#laptop #Windows @smartronindia https://t.co/‚Ä¶",FALSE,0,NA,2018-05-04 13:48:11,FALSE,NA,992400499197460480,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AkshayFadte",1,TRUE,FALSE,NA,NA,"laptopbrands"
"48",48,"RT @jela9ja: Ì†ΩÌ¥• Still a Good Deal!
Linksys AC1900 Dual Band Wireless Router for $79 ($160)!

50% off!

#geek #deals #tech #amazon #home #net‚Ä¶",FALSE,0,NA,2018-05-04 13:46:25,FALSE,NA,992400052734824448,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SleekDeals",1,TRUE,FALSE,NA,NA,"laptopbrands"
"49",49,"42% OFF #apple #MacBook #MacBookAir #laptop @amazon @apple Apple 13.3"" MacBook Air ( Silver) https://t.co/YXD90EoFQR https://t.co/wCrgv4jgET",FALSE,0,NA,2018-05-04 13:45:04,FALSE,NA,992399715797995520,NA,"<a href=""https://twittimer.com"" rel=""nofollow"">Twittimer</a>","the_best_daily",0,FALSE,FALSE,NA,NA,"laptopbrands"
"50",50,"Crash Test Comparison: What Cars and Mobile Computers Have in Common https://t.co/cqeqQq50GZ #FactFriday #droptest‚Ä¶ https://t.co/psVHICoGGm",FALSE,0,NA,2018-05-04 13:40:01,TRUE,NA,992398444231880704,NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","XploreRuggedPC",0,FALSE,FALSE,NA,NA,"laptopbrands"
"51",51,"ASUS ROG Strix GL503VD-DB74 Premium 15.6'' Gaming and Business Laptop PC (Intel i7 Quad Core, 32GB RAM, 1TB HDD + 2‚Ä¶ https://t.co/l8bvWzAOvj",FALSE,1,NA,2018-05-04 13:31:12,TRUE,NA,992396225281429504,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rutembesatweets",1,FALSE,FALSE,NA,NA,"laptopbrands"
"52",52,"We think every student has the right to explore learning with a laptop made just for them. That's why we built the‚Ä¶ https://t.co/ho7CdALCr0",FALSE,0,NA,2018-05-04 13:30:26,TRUE,NA,992396032813207552,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","bakusabuffalo",0,FALSE,FALSE,NA,NA,"laptopbrands"
"53",53,"RT @Lucky62058333: 2018 #HP Business 15.6-inch HD Touchscreen #Laptop #PC, Quad-Core AMD A12 Processor up to 3.6GHz, 8GB DDR4 SDRAM, 1TB HD‚Ä¶",FALSE,0,NA,2018-05-04 13:28:58,FALSE,NA,992395663232118784,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Lucky62058333",1,TRUE,FALSE,NA,NA,"laptopbrands"
"54",54,"Hyper #laptop from @smartronindia https://t.co/76OdLXj3if.  https://t.co/PNqHKNKwry
4M Pixel Display ,128GB SSD,  W‚Ä¶ https://t.co/VxA28BYK3h",FALSE,0,NA,2018-05-04 13:28:03,TRUE,NA,992395431991799808,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Seanku",0,FALSE,FALSE,NA,NA,"laptopbrands"
"55",55,"Use our discount coupon (use code XMA1410ZM) to repair your #djimavicair or any other #dji drone ÔÄ¢ #apple gear ÔÄ¢‚Ä¶ https://t.co/XbOdc0EJQi",FALSE,0,NA,2018-05-04 13:26:11,TRUE,NA,992394964284911616,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tfixrepairs",1,FALSE,FALSE,NA,NA,"laptopbrands"
"56",56,"TIL how you compress 3 video's into one. #officejam #fridayloop #laptop #mobilestudio #music #improvisation https://t.co/DS2SZioc4G",FALSE,1,NA,2018-05-04 13:23:50,FALSE,NA,992394370140835840,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dreikelvin",0,FALSE,FALSE,NA,NA,"laptopbrands"
"57",57,"RT @the_best_offer: 42% OFF #bigsale #MacBook #MacBookAir #laptop #apple @amazon @apple Apple 13.3"" MacBook Air ( Silver) https://t.co/rwOs‚Ä¶",FALSE,0,NA,2018-05-04 13:16:49,FALSE,NA,992392603910975488,NA,"<a href=""https://twitter.com/applenewsbot"" rel=""nofollow"">applenewsbot</a>","applenewsbot",1,TRUE,FALSE,NA,NA,"laptopbrands"
"58",58,"#laptop #computer 2017 Arduino RFID Starter Learning Kit Upgraded Version https://t.co/toVTGXIruu https://t.co/i7aMzl1pyW",FALSE,0,NA,2018-05-04 13:16:12,FALSE,NA,992392450495930368,NA,"<a href=""https://circuitshoppe.com/"" rel=""nofollow"">Curcuit Shoppe</a>","ircuitshoppe",0,FALSE,FALSE,NA,NA,"laptopbrands"
"59",59,"42% OFF #bigsale #MacBook #MacBookAir #laptop #apple @amazon @apple Apple 13.3"" MacBook Air ( Silver)‚Ä¶ https://t.co/0SGWbikY7h",FALSE,1,NA,2018-05-04 13:15:16,TRUE,NA,992392213786169344,NA,"<a href=""https://twittimer.com"" rel=""nofollow"">Twittimer</a>","the_best_offer",1,FALSE,FALSE,NA,NA,"laptopbrands"
"60",60,"Laptop Rental in Dubai

Are you looking for laptop rental in Dubai? Dubai Laptop Rental offers standard #laptop ren‚Ä¶ https://t.co/N8TSpSx6wp",FALSE,0,NA,2018-05-04 12:56:36,TRUE,NA,992387518866718720,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Dubai_Laptop",0,FALSE,FALSE,NA,NA,"laptopbrands"
"61",61,"ASUS N550 15-Inch Laptop https://t.co/XLlDhUefhk #laptop #computer #pc https://t.co/q6MVDlPNlU",FALSE,0,NA,2018-05-04 12:56:23,FALSE,NA,992387461455208448,NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","CoolStuff2Get",0,FALSE,FALSE,NA,NA,"laptopbrands"
"62",62,"Heads up. Let your laptop breathe. #laptop #computer #fire #danger #important https://t.co/luJyjVrwFt",FALSE,0,NA,2018-05-04 12:42:11,FALSE,NA,992383888730263552,NA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","bmcc265",0,FALSE,FALSE,NA,NA,"laptopbrands"
"63",63,"May the Sphero R2-D2 be with you for $65 https://t.co/dSqxUVH1jc #AI #laptop #drone https://t.co/8diLWuqzIT",FALSE,0,NA,2018-05-04 12:30:32,FALSE,NA,992380959021465600,NA,"<a href=""http://twibble.io"" rel=""nofollow"">Twibble.io</a>","TechGadgetsGuru",0,FALSE,FALSE,NA,NA,"laptopbrands"
"64",64,"The #Ecliptica : This top spec‚Äôd machine is in stock &amp; available online at @vanschaik1. Get all the details here &amp;‚Ä¶ https://t.co/kxLU9tGjZ4",FALSE,0,NA,2018-05-04 12:30:11,TRUE,NA,992380868592316416,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Prestigio_SA",0,FALSE,FALSE,NA,NA,"laptopbrands"
"65",65,"Asus ROG Strix Scar and Hero edition gaming laptop Review https://t.co/JnuGZqxuQD #Laptop",FALSE,0,NA,2018-05-04 12:28:00,FALSE,NA,992380318035398656,NA,"<a href=""http://www.over-blog-kiwi.com"" rel=""nofollow"">OverBlog Kiwi</a>","Nurinurfadil",0,FALSE,FALSE,NA,NA,"laptopbrands"
"66",66,"7% OFF #lenovo #flex5 #laptop @amazon @lenovo Lenovo Flex 5 14-Inch 2-in-1 Laptop, (Intel Core i5-8250U 8GB DDR4 12‚Ä¶ https://t.co/0VwoXC0CSZ",FALSE,1,NA,2018-05-04 12:25:09,TRUE,NA,992379604110336000,NA,"<a href=""https://twittimer.com"" rel=""nofollow"">Twittimer</a>","the_best_offer",0,FALSE,FALSE,NA,NA,"laptopbrands"
"67",67,"Ì†ΩÌ¥• Still a Good Deal!
Linksys AC1900 Dual Band Wireless Router for $79 ($160)!

50% off!

#geek #deals #tech #amazon‚Ä¶ https://t.co/PMrd9T8GAk",FALSE,0,NA,2018-05-04 12:23:09,TRUE,NA,992379098583486464,NA,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire - Go Big</a>","jela9ja",1,FALSE,FALSE,NA,NA,"laptopbrands"
"68",68,"#7: 200 PCS Galaxy and Unicorns Laptop Stickers for Car, Laptop, Skateboard, Luggage, Waterproof Vinyl Decals for M‚Ä¶ https://t.co/vhQ9xuvsuH",FALSE,0,NA,2018-05-04 12:13:17,TRUE,NA,992376617220673536,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","PLRGold",0,FALSE,FALSE,NA,NA,"laptopbrands"
"69",69,"RT @MekelKasanova: I am going to do a #review of the @Razer #RazerBladePro because this #laptop is a certified BEAST! I‚Äôm not only getting‚Ä¶",FALSE,0,NA,2018-05-04 12:11:13,FALSE,NA,992376096854347776,NA,"<a href=""http://todoenpc.serveblog.net/"" rel=""nofollow"">TodoEnPC</a>","TodoenpcVE",8,TRUE,FALSE,NA,NA,"laptopbrands"
